cellID	cellType	sampleID
GSM2172161	unsure	21_male
GSM2172162	alpha	21_male
GSM2172163	unsure	21_male
GSM2172164	alpha	21_male
GSM2172165	alpha	21_male
GSM2172166	alpha	21_male
GSM2172167	alpha	21_male
GSM2172168	unsure	21_male
GSM2172169	unsure	21_male
GSM2172170	alpha	21_male
GSM2172171	unsure	21_male
GSM2172172	unsure	21_male
GSM2172173	beta	21_male
GSM2172174	alpha	21_male
GSM2172175	unsure	21_male
GSM2172176	alpha	21_male
GSM2172177	unsure	21_male
GSM2172178	alpha	21_male
GSM2172179	unsure	21_male
GSM2172180	delta	21_male
GSM2172181	unsure	21_male
GSM2172182	unsure	21_male
GSM2172183	alpha	21_male
GSM2172184	unsure	21_male
GSM2172185	alpha	21_male
GSM2172186	alpha	21_male
GSM2172187	alpha	21_male
GSM2172188	unsure	21_male
GSM2172189	alpha	21_male
GSM2172190	alpha	21_male
GSM2172191	alpha	21_male
GSM2172192	alpha	21_male
GSM2172193	unsure	21_male
GSM2172194	unsure	21_male
GSM2172195	alpha	21_male
GSM2172196	unsure	21_male
GSM2172197	unsure	21_male
GSM2172198	unsure	21_male
GSM2172199	ductal	21_male
GSM2172200	unsure	21_male
GSM2172201	unsure	21_male
GSM2172202	ductal	21_male
GSM2172203	delta	21_male
GSM2172204	unsure	21_male
GSM2172205	unsure	21_male
GSM2172206	ductal	21_male
GSM2172207	ductal	21_male
GSM2172208	alpha	21_male
GSM2172209	ductal	21_male
GSM2172210	unsure	21_male
GSM2172211	ductal	21_male
GSM2172212	ductal	21_male
GSM2172213	ductal	21_male
GSM2172214	unsure	21_male
GSM2172215	unsure	21_male
GSM2172216	alpha	21_male
GSM2172217	unsure	21_male
GSM2172218	ductal	21_male
GSM2172219	ductal	21_male
GSM2172220	ductal	21_male
GSM2172221	alpha	21_male
GSM2172222	ductal	21_male
GSM2172223	alpha	21_male
GSM2172224	ductal	21_male
GSM2172225	ductal	21_male
GSM2172226	unsure	21_male
GSM2172227	ductal	21_male
GSM2172228	ductal	21_male
GSM2172229	unsure	21_male
GSM2172230	ductal	21_male
GSM2172231	ductal	21_male
GSM2172232	ductal	21_male
GSM2172233	unsure	21_male
GSM2172234	unsure	21_male
GSM2172235	alpha	21_male
GSM2172236	ductal	21_male
GSM2172237	ductal	21_male
GSM2172238	ductal	21_male
GSM2172239	ductal	21_male
GSM2172240	ductal	21_male
GSM2172241	alpha	21_male
GSM2172242	unsure	21_male
GSM2172243	unsure	21_male
GSM2172244	ductal	21_male
GSM2172245	ductal	21_male
GSM2172246	ductal	21_male
GSM2172247	unsure	21_male
GSM2172248	ductal	21_male
